stationKey,stationKey2,name,lat,lng,radiusMeters,email,STD
11002247,11002247,ห้างหุ้นส่วนจำกัดพีทีเขามีเกียรติ,6.770801,100.504748,300,,
11002258,11002258,ห้างหุ้นส่วนจำกัดอุดมสุขออยล์สเตชั่น,18.31596,98.66195,300,,
11002266,11002266,ห้างหุ้นส่วนจำกัดบุญพิศาลปิโตรเลียม,7.34398,100.331283,300,,
11002273,11002273,ห้างหุ้นส่วนจำกัดตะโละซูแมออยล์เซอร์วิส,6.43614,101.278558,300,,
11002289,11002289,หจก.บี.พี.ปิโตรเลียม,7.385103,99.979491,300,,
11002293,11002293,บจก.สบาย2014จำกัด,11.431212,99.55444,300,,
11002297,11002297,บริษัทชาลีปิโตรเลียมจำกัด,15.071253,102.206979,300,,
11002306,11002306,ห้างหุ้นส่วนจำกัดสุวิทย์ปิโตรเลียม,15.932804,102.023965,300,,
11002324,11002324,นายอุทัยแพนพัฒน์,17.688634,103.728378,300,,
11002358,11002358,บจก.พีเอสแอลออยล์,12.438741,102.302394,300,,
11002410,11002410,หจก.ชูไสวเอ็นเนอยี่,12.777907,101.327935,300,,
11002452,11002452,หจก.เจริญทัยออยล์,15.56459408,105.094787,300,,
11002482,11002482,บจก.ดอนยอออยล์,13.974353,100.10675,300,,
11002492,11002492,หจก.วี.แคร์แอลพีจีสำนักงานใหญ่,17.637832,100.087323,300,,
11002513,11002513,หจก.มิตรภาพภิญโญ,14.9763,102.052626,300,,
11002522,11002522,หจก.ศศิกานต์รุ่งเรืองปิโตรเลียม,14.346598,100.845753,300,,
11002523,11002523,หจก.รุ่งเรืองปิโตรเลียม2020,14.761078,104.198458,300,,
11002534,11002534,บริษัทรอดเงินจำกัด,8.260016,100.098226,300,,
11002541,11002541,หจก.เทวินปิโตรเลียม,17.278032,103.992036,300,,
11002555,11002555,หจก.ภูมิพัฒน์เค.กรุ๊ป,8.571709,99.948884,300,,
11002564,11002564,หจก.สกุลแสงปิโตเลียม,6.7355366,100.9409674,300,,
11002638,11002638,บริษัทพีซีออยล์กรุ๊ป,18.184499,98.617336,300,,
11002651,11002651,หจก.โชตเพิ่มพูนทรัพย์แอลพีจี,17.544518,100.188669,300,,
11002685,11002685,ทรัพย์เจริญปิโตรเลียม,15.486315,103.982656,300,,
11002726,11002726,หจก.อ.อนุวัฒน์ปิโตรเลี่ยม,12.849374,101.399271,300,,
11002758,11002758,ห้างหุ้นส่วนจำกัดเอส.พี.เซอร์วิส2,8.7769006,99.3628345,300,,
11002782,11002782,หจก.ตั้งตรงปิโตรเลียมพลัส,18.8515639,100.4462953,300,,
11002789,11002789,หจก.ส.สมพงษ์วังไหปิโตรเลียม,17.283204,101.853055,300,,
11002804,11002804,บจก.เพชรศิริอนันต์ออยล์,13.63662892,100.0700005,300,,
11002905,11002905,ห้างหุ้นส่วนจำกัดโชติธนวินท์,14.609449,103.558083,300,,
11002940,11002940,หจก.ระฟ้าพลังงาน,13.67983,102.494007,300,,
11002954,11002954,หจก.ศิริศักดิ์ปิโตรเลียม,15.785017,105.002699,300,,
11002959,11002959,หจก.พรนิภาเอนเนอร์จีสเตชั่น,12.93398,102.066416,300,,
11002966,11002966,ห้างหุ้นส่วนจำกัดนิติธรออยล์,13.937325,101.266943,300,,
11002967,11002967,หจก.สองพี่น้องบริการ2021,15.01001,101.925061,300,,
11003002,11003002,บจก.เอสเอสพีออยล์,13.233731,101.222842,300,,
11003008,11003008,หจก.ทองพัฒน์ปิโตรเลียม,8.571753,99.948651,300,,
11003009,11003009,บจก.โชคดีออยล์จำกัด,14.50443137,100.5211698,300,,
11003071,11003071,ห้างหุ้นส่วนจำกัดเจแอนด์พีปิโตรเลียม,16.707058,101.290283,300,,
11003102,11003102,ห้างหุ้นส่วนจำกัดขาณุมงคลออยล์,16.010623,99.794562,300,,
11003109,11003109,ห้างหุ้นส่วนจำกัดรัตนสมบูรณ์ปิโตร,17.795628,100.115446,300,,
11003116,11003116,บริษัทพรพัฒน์ปิโตรเลียมจำกัด,16.874831,100.664843,300,,
11003143,11003143,บริษัทดีพฤกษ์ธรรมจำกัด,13.71835657,100.2973868,300,,
11003192,11003192,บริษัทอโนออยล์จำกัด,16.371573,102.167552,300,,
11003203,11003203,ห้างหุ้นส่วนจำกัดมงคลโชคอนันกิจ,15.317076,105.043181,300,,
11003210,11003210,นายปริญญาเสนานอก,14.718913,102.5605473,300,,
11003213,11003213,ห้างหุ้นส่วนจำกัดอุดมทรัพย์ออยล์,17.054278,100.811389,300,,
11003224,11003224,หจก.พิชัยพัฒน์,14.638247,102.697941,300,,
11003225,11003225,บจก.8อินฟินิตี้พาวเวอร์,12.786289,101.664918,300,,
11003227,11003227,บจก.อนันตาอินดัสทรี,18.250492,99.526563,300,,
11003281,11003281,หจก.ฉ.สามร้อยยอดบริการ,12.20003,99.856641,300,,
